City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tiksi,128.8694,71.6872,-9.6,88,100,7.37,RU,2023-10-15 17:29:15
1,tomatlan,-105.25,19.9333,30.95,72,79,3.15,MX,2023-10-15 17:35:39
2,blackmans bay,147.3167,-43.0167,8.74,72,56,5.04,AU,2023-10-15 17:35:39
3,gadzhiyevo,33.3362,69.2551,3.9,89,97,5.92,RU,2023-10-15 17:31:12
4,hauterive,3.4459,46.0901,9.42,68,100,2.01,FR,2023-10-15 17:35:40
5,whitehorse,-135.0538,60.7161,9.43,64,40,6.71,CA,2023-10-15 17:31:26
6,bethel,-73.414,41.3712,14.47,66,100,3.09,US,2023-10-15 17:35:41
7,bilibino,166.4372,68.0546,-13.91,97,100,0.71,RU,2023-10-15 17:35:42
8,olonkinbyen,-8.7187,70.9221,0.73,73,91,3.68,SJ,2023-10-15 17:35:42
9,arraial do cabo,-42.0278,-22.9661,22.98,83,75,5.14,BR,2023-10-15 17:31:06
10,grytviken,-36.5092,-54.2811,0.92,90,76,5.31,GS,2023-10-15 17:35:43
11,port-aux-francais,70.2167,-49.35,1.14,67,100,13.1,TF,2023-10-15 17:35:44
12,avarua,-159.775,-21.2078,23.03,68,40,5.66,CK,2023-10-15 17:35:44
13,vadso,29.7487,70.0744,4.09,87,75,5.66,NO,2023-10-15 17:35:45
14,crane,-102.3501,31.3974,21.2,27,0,4.56,US,2023-10-15 17:35:46
15,adamstown,-130.1015,-25.066,21.99,80,55,3.78,PN,2023-10-15 17:35:46
16,west island,96.8225,-12.1568,24.99,78,40,5.66,CC,2023-10-15 17:35:47
17,iqaluit,-68.5145,63.7506,-0.15,69,75,6.17,CA,2023-10-15 17:35:47
18,udachny,112.4,66.4167,-4.75,92,100,3.52,RU,2023-10-15 17:35:47
19,edinburgh of the seven seas,-12.3116,-37.0676,12.09,83,84,13.3,SH,2023-10-15 17:35:48
20,howard springs,131.047,-12.497,23.95,65,23,0.98,AU,2023-10-15 17:35:48
21,muisne,-80.0333,0.6,25.26,81,94,3.02,EC,2023-10-15 17:35:49
22,aasiaat,-52.8699,68.7098,-5.68,73,100,1.55,GL,2023-10-15 17:35:49
23,nafada,11.3327,11.0956,30.09,30,95,0.39,NG,2023-10-15 17:35:50
24,invercargill,168.35,-46.4,7.79,81,100,3.58,NZ,2023-10-15 17:35:50
25,weno,151.8468,7.4515,27.97,83,100,4.63,FM,2023-10-15 17:35:51
26,ushuaia,-68.3,-54.8,6.81,65,40,10.8,AR,2023-10-15 17:35:21
27,kismayo,42.5454,-0.3582,25.83,88,63,4.28,SO,2023-10-15 17:31:09
28,carauari,-66.8958,-4.8828,29.33,62,75,0.52,BR,2023-10-15 17:35:52
29,igarka,86.5833,67.4667,1.18,100,100,0.72,RU,2023-10-15 17:35:53
30,dyurtyuli,54.8688,55.4911,10.96,83,98,7.08,RU,2023-10-15 17:35:53
31,papatowai,169.4708,-46.5619,9.7,60,77,3.87,NZ,2023-10-15 17:35:54
32,margaret river,115.0667,-33.95,16.54,58,100,5.24,AU,2023-10-15 17:35:54
33,kodiak,-152.4072,57.79,8.73,93,100,6.69,US,2023-10-15 17:35:55
34,kolonia town,158.206,6.964,29.06,83,40,2.06,FM,2023-10-15 17:35:55
35,montepuez,38.9997,-13.1256,23.17,81,20,3.14,MZ,2023-10-15 17:35:56
36,hengchun,120.7439,22.0042,24.79,76,98,8.32,TW,2023-10-15 17:35:56
37,afaahiti,-149.2833,-17.75,27.93,78,66,3.39,PF,2023-10-15 17:35:57
38,waitangi,-176.5597,-43.9535,12.68,77,26,5.36,NZ,2023-10-15 17:35:57
39,darende,37.5058,38.5458,13.51,76,100,0.57,TR,2023-10-15 17:35:58
40,utrik,169.8474,11.2278,28.1,75,11,5.33,MH,2023-10-15 17:35:58
41,naqadeh,45.388,36.9553,15.22,51,15,0.53,IR,2023-10-15 17:35:59
42,cabo san lucas,-109.9124,22.8909,33.67,66,0,6.69,MX,2023-10-15 17:35:13
43,iskateley,53.1512,67.6803,0.57,87,100,8.94,RU,2023-10-15 17:36:00
44,enewetak,162.3373,11.3474,28.49,76,94,4.87,MH,2023-10-15 17:33:51
45,fatehpur,80.8,25.9333,25.07,53,31,1.8,IN,2023-10-15 17:36:01
46,jamestown,-79.2353,42.097,8.77,95,100,5.14,US,2023-10-15 17:32:05
47,salmon arm,-119.3024,50.6998,20.73,52,14,2.06,CA,2023-10-15 17:31:07
48,kavaratti,72.642,10.5669,27.57,72,78,2.73,IN,2023-10-15 17:36:02
49,bangassou,22.8184,4.7413,20.37,96,100,0.85,CF,2023-10-15 17:36:03
50,concepcion,-73.0498,-36.827,13.89,67,0,9.77,CL,2023-10-15 17:36:03
51,changling,124.0005,44.2653,2.19,33,0,3.22,CN,2023-10-15 17:36:04
52,egilsstadir,-14.3948,65.2653,-0.05,93,100,1.03,IS,2023-10-15 17:36:04
53,rielasingen-worblingen,8.8401,47.7347,9.12,73,82,1.8,DE,2023-10-15 17:36:05
54,boyes hot springs,-122.4819,38.3138,30.03,44,0,3.6,US,2023-10-15 17:36:05
55,port mathurin,63.4167,-19.6833,23.37,84,19,5.13,MU,2023-10-15 17:36:06
56,oasis,-116.0989,33.4659,36.94,12,0,0.89,US,2023-10-15 17:36:06
57,moranbah,148.0466,-22.0016,22.32,53,7,0.81,AU,2023-10-15 17:36:07
58,puerto ayora,-90.3518,-0.7393,28.98,89,92,3.13,EC,2023-10-15 17:36:07
59,sitka,-135.33,57.0531,11.94,87,100,2.57,US,2023-10-15 17:31:27
60,yellowknife,-114.3525,62.456,9.67,87,40,7.2,CA,2023-10-15 17:35:01
61,howrah,88.3103,22.5892,26.0,89,20,0.0,IN,2023-10-15 17:36:09
62,thames,175.5333,-37.1333,16.64,60,76,1.87,NZ,2023-10-15 17:36:09
63,puerto natales,-72.4875,-51.7236,5.76,86,50,3.92,CL,2023-10-15 17:36:09
64,kone,164.8658,-21.0595,26.07,67,87,3.88,NC,2023-10-15 17:36:10
65,quebo,-14.9333,11.3333,25.87,90,93,1.72,GW,2023-10-15 17:36:10
66,dalbandin,64.4101,28.8947,21.41,40,19,0.8,PK,2023-10-15 17:36:11
67,saint-pierre,55.4781,-21.3393,22.82,78,0,1.54,RE,2023-10-15 17:36:11
68,bandon,-8.7425,51.7469,8.77,80,100,2.13,IE,2023-10-15 17:36:12
69,kenai,-151.2583,60.5544,6.75,88,100,7.72,US,2023-10-15 17:36:12
70,fortuna,-124.1573,40.5982,22.74,79,0,3.6,US,2023-10-15 17:36:13
71,road town,-64.6167,18.4167,30.02,70,20,2.57,VG,2023-10-15 17:32:37
72,sodankyla,26.6,67.4167,0.52,99,100,2.21,FI,2023-10-15 17:36:14
